"ID","X","melody","block","Relaxation","Cat_Fam","Type","Measured_Fam","Liking","onset","offset","total_duration","total_duration_min","valence","associations","relax_music","radio","fmri_id","new_familiarity","new_condition","old_condition"
11111,19,"i see fire",2,47.65625,"Familiar","Sedative",13.28125,49.91319444,171.4003,199.4527,204.4841,3.4081,"Neutral","","classical, chillwave and psychedelic rock","Sometimes",39,"unfamiliar","Unfam_Sed","Fam_Sed"
11111,34,"saving all my love",2,37.4131944444444,"Familiar","Sedative",5.381944444,41.84027778,700.61,728.6634,733.6942,12.2282,"Neutral","","classical, chillwave and psychedelic rock","Sometimes",39,"unfamiliar","Unfam_Sed","Fam_Sed"
11111,48,"yesterday",1,84.6354166666667,"Familiar","Sedative",0,29.94791667,436.013,464.063,469.0801,7.818,"Neutral","","classical, chillwave and psychedelic rock","Sometimes",39,"unfamiliar","Unfam_Sed","Fam_Sed"
33333,117,"i see fire",1,65.3645833333333,"Familiar","Sedative",0,49.65277778,138.3148,166.3679,171.3987,2.8566,"Neutral","","Soundtrack","Sometimes",63,"unfamiliar","Unfam_Sed","Fam_Sed"
42466,195,"all out of love",2,46.2673611111111,"Familiar","Sedative",38.45486111,32.03125,171.3963,199.4467,204.4805,3.408,"","","Slow jazz","Sometimes",48,"unfamiliar","Unfam_Sed","Fam_Sed"
42466,226,"saving all my love",1,70.4861111111111,"Familiar","Sedative",42.1875,35.76388889,270.6497,298.6981,303.7166,5.0619,"","","Slow jazz","Sometimes",48,"unfamiliar","Unfam_Sed","Fam_Sed"
50644,354,"i hate u",2,60.0694444444444,"Familiar","Sedative",17.10069444,55.98958333,469.1232,497.1715,502.1902,8.3698,"","","instrumental, ambient","Never",58,"unfamiliar","Unfam_Sed","Fam_Sed"
50644,355,"i wanna dance",1,60.8506944444444,"Familiar","Excitative",44.18402778,14.32291667,105.2554,133.3074,138.3389,2.3056,"Happy","party with a friend","instrumental, ambient","Never",58,"unfamiliar","Unfam_Exc","Fam_Exc"
50644,359,"just the way you are",2,59.1145833333333,"Familiar","Excitative",0,45.65972222,634.4978,662.5479,667.565,11.1261,"","","instrumental, ambient","Never",58,"unfamiliar","Unfam_Exc","Fam_Exc"
50644,361,"lay me down",2,52.8645833333333,"Familiar","Sedative",40.45138889,53.21180556,336.8161,364.8659,369.8836,6.1647,"","","instrumental, ambient","Never",58,"unfamiliar","Unfam_Sed","Fam_Sed"
